LaIS_length,Iteration_count
73,34699
69,35305
71,34251
72,34420
69,34687
66,34473
72,35406
66,34280
71,34814
70,34738
75,35116
67,34332
72,34921
68,34128
70,34859
77,34850
73,34619
70,34699
80,35103
75,35805
71,34823
69,35022
69,34522
66,34941
71,35249
71,34234
70,34774
70,35167
78,35112
76,35533
74,35408
72,34968
72,35410
74,34820
75,35172
73,35535
76,35213
75,34814
73,35007
74,35072
71,35203
70,34507
75,35655
79,35019
72,35030
72,34918
71,35050
71,34980
75,35419
71,35292
70,34938
74,35599
74,34534
72,35207
70,35499
75,35698
72,34481
69,34572
71,34977
75,35219
74,34920
71,34669
72,35369
71,35192
68,34975
66,34309
69,34621
72,34301
71,34245
75,35374
73,35033
74,35177
71,35188
68,35211
72,35335
75,34700
66,34655
70,34134
71,35181
71,35057
73,34776
75,35763
77,35249
75,35273
75,34780
76,35482
74,35012
70,34679
76,35422
77,34890
72,34706
75,35013
73,34818
66,34004
74,35470
71,35057
71,34723
79,34856
73,35508
76,34985
72,34479
72,35427
70,34499
63,35295
76,34649
69,35156
75,35121
71,35056
70,34681
75,34891
69,35813
70,34365
68,35597
72,34636
72,34991
71,34949
70,35114
76,34720
75,35817
76,34613
71,35010
68,35099
73,35980
74,34759
74,34898
70,34143
76,35177
77,34736
74,35997
72,35540
70,35456
69,34597
77,34968
78,35181
73,34957
67,34569
70,34430
73,35646
71,34707
70,35091
75,34368
70,35629
78,35502
68,35072
68,34684
70,35231
75,34798
71,35250
79,35416
75,34691
76,35477
74,35290
74,35393
71,35004
76,35163
72,35073
76,35400
72,35505
69,34928
72,35425
72,34794
73,34697
76,34233
67,35347
78,35423
67,35171
77,35743
81,34936
71,35143
75,35261
80,35711
71,35067
76,35076
75,34346
67,35207
69,35303
75,34782
71,34961
72,35175
75,35267
79,35112
67,34644
71,34523
72,35104
74,34671
69,35312
73,35063
74,34854
71,34500
72,34578
73,35302
72,35074
70,34609
73,34879
72,34459
67,34788
73,34803
73,34861
73,35027
70,35627
75,35055
70,35183
70,34808
73,34626
76,34885
71,35218
67,35370
72,34844
74,35174
67,34573
71,34620
69,35522
72,36124
77,34942
73,35134
69,35056
69,34088
74,34930
70,35442
73,35543
74,34781
73,35152
78,34932
68,35168
67,34909
71,35045
72,35388
68,34385
72,34970
74,35119
71,35010
72,34754
72,35320
69,35365
73,34944
77,35452
75,34844
76,35355
72,34641
71,35407
77,34799
76,35043
77,35849
78,34960
68,34434
72,34662
72,34398
73,35263
75,35039
77,35881
69,34394
69,34501
74,35313
77,34772
77,34609
79,35614
72,34722
74,34489
71,34513
76,35400
74,34318
73,34593
72,34172
73,35525
78,34986
72,34661
74,34686
73,34979
75,34455
71,34615
77,34380
70,34976
78,34891
78,35012
78,34500
74,35001
76,35029
77,35477
73,34832
75,35157
70,34587
73,35551
70,35438
76,35074
71,34840
69,34136
71,35083
72,35013
72,34986
66,34396
73,34967
77,34828
79,34461
68,35390
73,34750
76,35320
75,35069
73,34594
71,35119
72,35290
78,34993
76,35702
73,35201
73,35013
70,34939
73,34454
74,34843
68,34218
72,34736
69,34478
75,34869
71,34607
78,34665
67,34934
73,34774
72,34961
75,35685
78,34891
74,34666
78,35005
76,35189
75,35833
79,34881
72,35308
79,34908
72,34738
73,34625
71,34707
70,34847
72,33931
73,35095
74,34595
74,35502
70,35337
75,34511
75,35344
68,34576
73,35108
70,34212
74,35369
72,35150
73,34650
79,35035
77,35316
76,35235
76,35417
74,35994
70,34864
79,35246
67,35093
77,35805
80,35716
71,34660
79,35258
76,35190
73,34939
79,35356
73,36098
75,34566
69,35615
69,34391
82,35399
71,34999
74,34343
72,35228
71,34447
76,35097
73,35881
74,34741
71,35091
73,35839
69,34607
71,35898
67,34610
67,34617
68,35257
73,34788
66,34997
70,35661
75,34718
74,34646
73,34725
69,35142
74,35563
71,34696
75,35305
71,35302
73,35546
70,35675
69,35114
73,34951
71,34339
75,35474
73,34430
74,34700
78,35118
70,34427
76,34730
73,35410
71,34818
75,35777
76,35247
79,35061
76,35254
73,35178
74,34373
67,34407
75,34898
69,34846
69,34944
70,35523
76,34997
68,35126
72,35527
68,34617
74,34491
74,35888
72,35445
78,34962
77,35095
67,34161
74,35114
72,34469
73,34670
74,35090
79,35420
73,36008
71,34908
67,35278
