LaIS_length,Iteration_count
62,34267
59,34457
64,34666
62,34521
60,33567
62,34428
60,34303
63,34016
62,34867
60,33990
61,34328
63,34057
61,34348
66,34393
57,34077
64,34645
64,33933
62,34180
65,35221
58,34361
63,34415
61,34597
56,34043
59,34117
58,33652
60,34526
61,34305
60,34538
61,34549
60,34552
61,34554
62,34212
63,34508
63,34451
61,34851
60,33992
62,34258
63,34049
64,35197
60,33955
59,34276
63,34387
63,34676
59,33622
60,34200
62,34790
61,34622
62,34185
65,33868
61,33814
63,33764
60,33907
60,33779
59,34513
61,34431
61,34031
58,34038
60,33686
57,33913
55,33605
60,33998
58,34705
59,34033
61,34375
61,34384
58,34690
65,34652
63,34055
60,34454
56,33816
57,34460
62,34778
62,33592
60,34723
59,34644
60,34133
62,34304
62,34584
64,34202
62,33884
60,33961
61,34034
61,33723
63,34313
61,34310
66,34215
58,33741
61,34689
59,34607
62,33723
59,34488
55,33658
58,34394
63,34124
57,33387
61,33801
64,33949
61,34320
61,33635
58,34315
60,33865
61,34032
59,33768
68,33456
61,34265
62,34199
64,34337
57,33525
63,34242
62,34924
61,34125
64,34244
59,33803
63,34752
56,33713
55,34239
59,33751
60,33987
65,34602
61,34284
61,34747
62,34294
56,34173
60,34514
58,34495
59,33991
64,33784
63,34497
58,34300
57,33848
63,34929
61,34638
63,33850
65,34685
55,33635
63,34145
62,34352
60,34263
57,34310
56,33944
58,34927
59,33842
62,34322
61,34667
54,33952
56,33736
60,33592
58,34302
60,33989
61,34105
60,34440
60,34111
62,34257
61,34052
59,34091
59,34274
56,33848
60,34176
62,34806
57,33630
60,34279
62,34126
57,34032
63,34055
63,34415
57,33901
64,34320
65,34184
63,34468
57,34053
61,34189
64,34643
62,34007
65,34600
61,34348
61,34249
61,33597
66,34686
61,33873
58,33604
59,34263
63,34294
55,34820
61,34263
58,33563
56,33705
59,33739
64,34875
62,34333
55,34007
58,33985
59,33557
62,34135
63,33990
62,34021
62,34138
62,34121
54,34085
58,34174
64,34192
56,33584
63,33917
60,34728
59,33919
61,34380
61,34722
62,34294
59,34075
62,34072
62,33962
60,34293
56,33723
61,34829
59,33545
55,34443
59,34621
65,34021
59,34015
60,34351
58,33511
63,33903
66,34207
65,34379
59,34210
61,34077
62,34254
61,33512
61,34099
57,34127
62,34170
58,34098
61,34747
62,33837
58,33687
57,33538
57,33707
56,33462
59,33792
58,33868
64,35150
56,34257
63,34318
59,34101
59,34121
61,33475
63,34379
64,34547
60,33767
64,34070
61,34250
62,34885
61,33839
58,34091
64,34358
59,34138
64,33861
63,33916
62,35185
63,34265
60,34394
59,34180
66,34665
62,34122
58,33869
63,33872
60,33418
67,35033
65,35140
63,34031
61,34664
63,34324
62,34565
60,34492
61,34546
63,34183
58,34785
61,34056
64,34435
56,34093
59,34378
60,34045
59,33383
61,34733
58,34730
62,33305
60,33848
64,34304
57,34421
66,34113
61,34048
65,34751
62,33644
57,34266
59,34039
63,34539
61,34008
62,34622
62,34500
60,33963
58,34200
60,34214
58,34128
62,33737
60,34019
60,34595
59,33346
58,34783
58,34191
62,34496
56,33886
61,34145
59,33480
63,35343
63,34880
62,34306
60,33939
57,33615
62,34590
61,34557
62,34596
58,34307
64,34814
57,34241
58,33576
58,34504
65,35117
60,34232
57,34222
57,33914
61,34618
59,33816
60,33465
63,33764
63,34096
62,33560
60,33604
55,33992
59,33475
58,34007
62,34468
59,33856
59,34035
59,33930
58,33986
63,34304
60,33942
60,33834
61,34431
63,34382
59,34171
63,33896
62,34288
56,33423
57,33915
61,34286
62,34206
65,35192
62,34215
59,34369
60,34554
64,34348
62,34179
67,35244
61,34014
60,34384
61,34505
62,34567
62,33900
60,34080
61,34182
57,33924
59,34722
59,35076
61,34251
60,33716
60,33979
63,33454
62,34336
58,35156
65,33881
60,34225
63,34098
56,33833
58,34917
62,34011
61,34929
61,33740
59,34533
55,33776
59,33706
63,34446
56,33390
60,34190
64,34222
62,34646
61,34147
65,34099
60,34697
62,34780
62,34377
59,34435
64,34843
61,34404
60,34885
60,33779
64,34773
60,33513
65,34515
61,34292
62,34277
62,34392
61,33835
60,34312
58,34372
55,33497
62,34139
63,34680
57,34375
57,33539
65,34439
62,34480
59,33916
60,34113
61,34590
66,34545
62,34179
63,34441
60,33975
59,33662
60,34014
64,33743
60,34087
60,34151
58,33671
60,34094
57,33954
63,34122
61,34336
58,34218
57,33890
53,34093
64,33766
64,34417
59,34219
63,34884
60,34795
64,34574
64,34219
61,34806
64,35141
63,34445
56,33669
63,34388
61,34245
61,34540
56,34138
64,33741
62,34583
63,34480
62,33941
60,33846
67,35220
60,33807
62,34599
65,34184
56,33690
65,34539
59,35034
59,33061
65,34745
67,33556
59,34116
58,33833
64,34050
60,35044
57,33714
59,34064
62,34414
62,34369
59,34660
61,34115
61,33849
62,33768
63,34208
60,34739
61,34466
61,33300
57,34511
62,34025
60,34320
59,34181
59,34180
58,33402
58,34376
65,34825
69,35154
58,33761
60,34385
57,34101
68,34334
63,34137
57,33701
59,33853
62,34207
64,34543
62,34172
58,34121
57,34479
64,33811
56,33733
60,34157
65,34752
57,34109
57,33696
57,34090
63,35083
58,34299
69,34004
63,33850
55,34389
64,34495
63,34009
60,34271
63,33931
64,34529
61,34052
60,34612
62,34551
61,34674
62,34463
61,34525
67,34337
57,33795
60,34466
54,34333
57,33760
61,33868
61,34849
60,34105
54,33376
63,34243
63,34160
63,33889
62,34332
58,33569
61,34038
60,34625
60,34463
58,34362
61,34796
64,34196
64,34354
61,34179
63,34351
59,33872
58,33847
60,34136
67,34599
68,34440
62,33995
59,34505
59,34554
63,34604
58,34817
58,34741
61,34138
61,34443
58,33872
63,34326
62,34758
62,33794
58,33913
64,34587
60,34343
64,33757
59,33949
61,33389
56,33887
65,34058
61,34720
59,33927
66,34085
58,33596
63,34038
59,34578
57,33738
62,33963
57,33859
58,34196
59,34351
57,34414
60,33866
62,33906
58,33960
64,34870
68,34005
60,34112
65,34315
66,34125
58,33865
59,33873
59,34226
59,33743
60,33535
63,34406
62,34247
62,34554
64,34388
59,34451
65,34422
59,34319
58,33840
66,34030
62,34083
62,34445
60,34114
56,33813
61,34157
61,34120
58,33623
62,34558
65,34344
61,34315
63,34349
60,34044
60,34540
60,34724
60,34310
62,34274
63,33875
57,33971
60,34259
66,34610
61,33603
64,34340
62,34448
60,33659
56,33892
60,34172
60,33386
62,33869
61,33654
58,33603
62,33839
60,33842
60,33759
55,34129
58,33750
64,34353
63,34545
57,34047
65,34201
67,34611
62,33898
63,34012
61,34583
60,34321
62,34479
60,34476
61,35197
59,34440
59,34041
61,34221
60,34013
64,34437
61,34738
57,33109
59,34065
58,33432
63,34231
61,34212
55,33068
62,34071
56,34329
64,34526
61,34422
60,34116
61,34038
59,34387
64,34405
66,34833
59,34408
68,33800
58,33680
57,33871
67,33791
58,33936
61,33699
56,34067
63,34097
64,34262
56,34193
63,34289
60,33600
59,33936
63,33880
62,34212
65,34255
61,33948
64,34970
58,34223
57,33371
61,33770
65,34083
58,34324
62,34966
63,34616
61,34123
63,34423
62,34787
56,33833
56,33603
61,34452
60,33614
54,34316
59,34561
64,34964
61,33786
60,34277
62,34624
60,34833
61,34496
57,33841
56,34104
63,34532
61,33482
59,34240
61,34731
61,34214
60,34155
62,34077
60,34031
62,33774
62,34078
65,35107
62,34890
64,33738
59,34351
62,33938
58,34621
55,34322
61,33902
62,34124
59,34756
64,34464
66,34674
62,34397
58,33862
63,34049
62,33957
67,34603
58,34342
68,34138
60,35107
59,33970
62,34130
60,34148
59,33489
66,34235
58,34361
62,34833
66,35034
60,33882
59,33713
61,33845
55,33523
67,34242
60,33376
61,34124
59,34230
64,34098
61,33804
58,34318
60,35206
61,34184
62,34317
61,33919
59,33961
57,33556
64,34581
57,34006
64,34575
56,33921
57,33327
59,33347
59,34171
62,34782
64,34312
57,33957
63,33976
56,34466
60,34169
64,34129
65,34830
55,33986
62,34318
66,33766
62,34226
63,34734
61,34487
58,33876
56,34117
63,34465
63,34234
56,34085
61,34013
65,33933
60,34018
64,34831
62,34165
64,34822
65,34078
61,34461
58,33777
58,34358
57,34103
67,35142
60,34558
60,34315
55,34115
68,34206
63,33894
59,34054
61,34115
69,34470
64,33173
60,34258
58,34071
63,34134
58,34441
63,34290
65,34325
60,34047
57,33601
57,34154
58,34049
60,33889
58,33643
63,33879
62,33382
64,34290
62,34896
58,34108
62,34438
60,34644
59,33892
61,34291
63,34732
59,34424
62,34651
62,33871
66,34034
65,34482
58,33814
66,34087
60,34069
59,34905
62,34543
59,34027
53,33659
65,33259
58,34237
60,34610
56,33979
59,33623
62,33897
60,34251
60,34097
60,34140
59,34675
61,34428
62,34586
68,34724
64,34045
63,34176
59,34072
67,34213
61,34560
61,34821
61,34047
62,33787
66,34643
60,34145
56,33715
59,34356
61,34074
63,33774
59,33948
59,34030
60,33766
59,33747
57,33295
63,34838
64,34371
58,34270
59,33844
64,34368
62,34325
60,34650
65,34855
59,34106
58,34745
57,34668
64,33922
58,34458
62,34070
61,34415
62,34298
61,34017
60,35032
59,33677
62,33288
63,33981
56,33708
61,33991
58,33846
60,33821
64,34699
60,34641
61,34314
61,34005
67,34816
63,34928
61,33583
57,33823
60,34503
59,33985
63,34352
61,34052
65,34371
62,34314
62,34291
60,33929
58,34337
58,33883
62,34306
61,34379
60,33994
59,34705
61,34012
68,35398
59,34151
65,33765
60,34087
63,33951
58,33648
59,34273
57,33853
59,33943
55,33965
65,34141
59,33942
61,34213
65,34480
60,34437
61,33923
62,33945
61,34473
65,34121
59,33893
62,33695
58,33501
64,33881
59,34086
58,34171
62,34453
62,34546
61,34702
55,33642
61,34518
59,34026
63,33673
60,34176
60,34080
59,33182
67,34449
59,33480
59,34049
61,34214
62,33463
59,34096
60,33944
60,34208
65,34547
61,34533
61,33762
59,34588
58,33747
62,34358
59,34877
61,34191
64,34046
59,34156
59,34025
60,33680
60,34499
60,34231
59,35311
64,34166
62,34565
59,34165
65,34333
62,34847
61,34315
59,33794
61,34147
58,33899
59,34327
66,35425
60,34503
58,34329
59,33999
62,34235
60,33800
55,33343
60,34162
61,34134
57,34479
59,34578
58,33930
60,34663
65,33856
57,32980
59,34010
65,34630
61,34944
59,33889
60,34225
59,34656
64,34437
60,34152
61,34249
64,34419
57,34546
60,33414
64,34705
69,34316
64,35006
57,34330
61,34320
60,34098
60,34819
56,33412
57,33640
63,34637
60,34087
58,34392
59,34297
65,34380
61,33916
55,33468
63,34405
60,33770
60,33814
63,34178
58,33723
59,34034
68,34085
62,33598
55,34004
56,34440
62,34603
61,34538
58,33941
62,33883
69,34683
61,35125
63,34468
58,34091
60,34710
59,33945
64,34119
63,34299
63,33989
56,33269
63,33881
61,34534
59,34160
57,34254
55,34013
61,34269
63,34724
60,34436
63,33846
62,35225
62,34940
67,34644
61,34570
59,34432
59,33757
59,33812
67,34435
67,34301
67,34505
63,34559
60,33951
65,33751
62,34381
63,34540
59,33763
65,34441
65,34084
59,34960
60,33920
63,33985
60,34598
59,34169
63,33806
63,34367
63,34176
57,33672
59,34588
60,34065
62,35035
60,34397
57,34208
67,34185
60,33748
60,34157
62,34443
62,34578
63,34091
59,34074
62,34402
64,34658
59,33404
58,34173
61,34419
62,34120
62,34197
64,34208
64,33529
63,33940
60,34424
58,34443
61,33836
58,34862
61,34392
59,34080
57,34885
60,34282
57,33836
59,34124
63,34445
64,34547
61,34450
60,34394
59,34094
55,33562
63,34272
61,33776
59,34231
60,33711
57,34388
61,34399
67,34783
62,33720
59,33884
65,34111
61,34521
61,33976
59,33754
60,33542
60,34377
61,34492
62,34460
57,33688
61,34260
61,34209
56,34041
59,34243
60,34482
59,33793
60,34421
57,33989
61,34332
60,34381
62,34693
61,34079
61,33806
66,34625
58,33354
58,33316
60,34221
60,33244
62,34108
61,34373
63,34916
64,34322
58,34137
64,34139
63,34547
61,34370
62,34194
61,34011
58,34310
59,34328
57,34128
60,34371
55,33818
68,33991
66,34212
58,34775
63,34271
58,34128
62,34210
62,33877
60,34669
61,33961
63,34236
59,34510
57,33837
62,34336
57,33708
61,33378
58,34982
65,34340
64,34719
60,34304
62,34290
60,34486
59,34520
64,33967
60,34466
60,33616
66,34858
60,34046
63,34041
64,35195
59,34658
58,33750
59,33417
60,33941
57,34264
66,33967
58,33376
59,34316
63,33504
64,34554
61,34845
65,34629
57,33750
58,33960
65,34333
61,34122
59,34016
59,33610
59,33715
62,34744
60,34195
58,34065
59,33508
64,33969
65,34479
60,34252
58,33938
58,34008
62,34157
66,33947
57,33715
59,34373
60,33861
59,33777
59,34180
57,34636
65,34267
57,34009
63,34245
60,34464
56,33832
56,34280
58,33235
59,34009
62,34599
61,34580
66,34172
60,34783
60,34675
63,34126
62,33692
58,34158
58,33915
60,33891
62,33788
60,34342
59,34612
66,34389
66,34048
59,34075
64,33413
61,33804
58,33901
57,34120
59,34028
60,34134
63,34079
66,34751
59,33850
67,34245
62,34672
63,34298
60,34360
62,33890
62,34374
61,34542
57,33719
60,34779
63,34156
62,34670
62,34752
66,34155
63,34281
61,33755
58,33627
64,34594
58,33499
62,34145
63,33824
61,33981
58,33553
59,33463
59,34543
56,34302
59,34186
65,34327
58,33832
70,34387
62,34161
66,34690
61,34615
62,34582
67,34188
61,34287
61,33906
60,33818
62,34572
61,34570
63,34165
56,33942
60,33483
57,33987
65,34957
57,33774
63,34817
61,34623
58,33997
61,34336
59,33898
58,34287
59,34368
57,33775
63,34223
63,34201
58,34483
63,34002
54,33461
67,34484
57,34644
57,34049
63,34164
64,33919
60,33768
61,33992
63,34079
64,34340
58,34221
60,34960
60,33926
68,34496
57,33791
60,33838
59,34159
65,35053
63,34829
61,34333
63,33832
61,34436
61,34543
58,33682
60,34187
63,33939
63,34417
60,34703
64,34583
61,34631
60,34167
60,33840
68,34547
60,33975
60,34174
61,34978
60,34434
59,34235
55,34178
59,34110
58,33793
63,34243
60,34033
58,33633
56,34214
62,34671
57,33070
66,34046
60,34090
65,34196
62,33733
57,33679
58,34236
61,34241
62,34367
60,34589
62,34342
59,33806
57,33488
63,33977
61,34368
63,34795
63,33874
63,33954
64,34148
65,34780
66,34235
62,34373
60,34124
64,34659
63,34511
63,34279
60,34064
64,34106
61,34272
62,34523
60,33839
67,34025
63,34057
60,34166
63,34370
60,34609
60,33833
64,33924
65,34725
59,33702
70,34724
59,34507
60,33267
58,34344
61,34665
58,34113
64,34102
57,34144
58,33832
58,33647
62,34515
60,34330
62,34645
62,34076
62,33595
62,34375
58,34595
65,34446
61,34201
60,33953
60,33104
64,33998
63,34066
54,33723
62,34245
60,33694
64,34619
62,33690
63,34408
57,34386
56,34845
66,34891
63,33612
61,34122
61,34365
59,33828
60,33921
65,35253
59,34794
67,34141
62,34944
60,34248
60,33424
57,34114
62,33288
59,34281
62,34840
66,34211
61,34264
58,33726
63,34256
62,33817
64,33454
59,34219
58,33958
61,34870
64,34262
66,34809
57,34033
61,33898
63,33808
58,33782
64,35230
65,33978
59,33932
64,34557
56,34058
54,33347
59,34470
61,33261
59,34054
55,33544
63,34240
57,34132
59,33884
57,33527
61,34449
61,33882
64,34287
59,33966
63,34356
61,34662
61,34667
61,34331
65,33612
58,34434
63,34649
58,33907
61,33864
66,35496
59,34088
56,33642
61,33732
61,33866
57,34492
60,34455
56,34196
59,34046
65,33806
62,33831
59,33675
62,33909
62,34318
58,34497
62,34582
62,34340
56,33877
62,34301
57,33409
62,34466
64,34700
59,34088
59,33823
60,34332
58,33946
57,34535
58,34105
58,34170
61,34181
61,34429
62,35572
65,34189
61,34099
60,33775
61,33784
59,33711
55,33591
60,34118
62,34314
58,34431
54,34813
61,33597
63,34966
59,33932
66,34237
63,34250
60,34219
64,34346
61,34485
58,33889
62,34792
60,34321
63,33528
58,33581
61,34105
60,34591
60,35152
57,33572
64,34279
55,33819
60,34239
57,33813
57,34070
65,34581
62,34929
59,33856
60,33691
60,34704
63,34688
58,34145
66,34708
63,34351
61,34822
58,33863
62,33902
65,34565
65,34761
58,34019
60,34134
59,33673
60,34056
61,34405
61,34551
59,34127
60,34528
60,34600
58,34287
59,33972
65,34186
60,33628
62,34138
57,34335
66,35078
59,34122
58,33926
62,33910
59,34324
63,34525
60,34755
56,33916
58,34022
62,33656
61,34182
63,34202
62,34557
60,34386
62,33595
61,34232
60,34416
60,34947
65,35037
56,33940
57,34241
62,34767
61,34708
62,33980
59,33976
60,34509
58,34261
62,33694
59,33407
61,34713
65,34117
60,33470
57,34464
62,34883
62,34183
60,34634
63,34443
63,33994
67,34117
64,34663
67,34616
57,34523
62,34089
59,34334
63,35264
58,34103
64,34719
60,34400
61,34520
68,34543
63,33465
56,34132
64,33876
66,34519
58,34244
60,33796
58,33444
59,34227
61,34296
58,33853
61,34959
58,33698
58,34306
60,33917
61,34134
56,33745
58,34305
63,34409
62,34436
58,33839
65,34575
59,35009
61,34926
69,35150
62,33802
59,34624
61,33867
60,34118
59,34082
56,33641
65,34233
59,33922
